Graph,V(G),E(G),D(%),F/GA,F/BRKGA,F/PLI,OPT,T/GA,T/BRKGA,T/PLI,MIN/GA,MIN/BRKGA,STD/GA,STD/BRKGA,GAP(%)
queen11_11,121,1980,27.27%,54,82,37,0,0.674,0.089,900.0,37,82,7.7,0.0,45.95
c-fat200-5,200,8473,42.58%,32,32,32,1,1.45,0.155,4.0,32,32,0.0,0.0,0.0
DSJC500.9,500,112437,90.13%,30,30,30,1,22.463,0.8,286.0,30,30,0.0,0.0,0.0
zeroin.i.1,126,4100,52.06%,4,4,4,1,0.977,0.098,0.0,4,4,0.57,0.0,0.0
queen7_7,49,476,40.48%,22,26,19,1,0.117,0.013,9.0,20,26,1.4,0.0,15.79
sanr400_0.5,400,39984,50.11%,168,168,168,0,10.047,0.552,900.0,168,168,0.0,0.0,0.0
brock800_4,800,207643,64.97%,236,236,236,0,79.873,3.079,900.0,236,236,0.0,0.0,0.0
le450_25a,450,8260,8.18%,248,262,210,0,16.512,1.554,900.0,238,250,6.43,6.92,18.1
miles750,128,2113,26.00%,19,20,18,1,0.631,0.085,5.0,18,19,2.16,1.01,5.56
san200_0.7_1,200,13930,70.00%,46,46,46,1,2.274,0.138,87.0,46,46,0.0,0.0,0.0
brock800_2,800,208166,65.13%,235,235,250,0,96.129,2.803,900.0,235,235,0.0,0.0,-6.0
queen14_14,196,4186,21.90%,103,146,54,0,2.555,0.206,900.0,77,146,7.96,0.0,90.74
brock800_3,800,207333,64.87%,243,243,248,0,71.579,2.643,900.0,243,243,0.0,0.0,-2.02
p_hat500-1,500,31569,25.31%,271,297,270,0,19.235,1.005,900.0,255,297,8.36,0.0,0.37
p_hat500-3,500,93800,75.19%,49,49,49,0,22.689,0.881,900.0,49,49,0.0,0.0,0.0
brock800_1,800,207505,64.93%,241,241,249,0,85.935,3.078,900.0,241,241,0.0,0.0,-3.21
san400_0.7_2,400,55860,70.00%,97,97,97,1,12.547,0.519,166.0,97,97,0.0,0.0,0.0
hamming6-4,64,704,34.92%,24,43,24,1,0.2,0.024,0.0,24,43,0.0,0.0,0.0
brock200_4,200,13089,65.77%,54,54,54,1,2.074,0.173,746.0,54,54,0.0,0.0,0.0
c-fat500-2,500,9139,7.33%,38,38,38,1,7.171,0.844,44.0,38,38,0.0,0.0,0.0
san400_0.7_3,400,55860,70.00%,94,94,94,1,12.86,0.582,153.0,94,94,0.0,0.0,0.0
san400_0.7_1,400,55860,70.00%,100,100,100,1,12.196,0.517,161.0,100,100,0.0,0.0,0.0
anna,138,493,5.22%,50,67,50,1,0.778,0.078,0.0,50,67,0.37,0.0,0.0
DSJC250.1,250,3218,10.34%,133,138,118,0,4.441,0.405,900.0,123,123,5.04,5.81,12.71
c-fat500-1,500,4459,3.57%,60,64,60,1,12.621,0.856,36.0,60,64,1.63,0.0,0.0
miles250,125,387,4.99%,45,45,45,1,0.743,0.091,0.0,45,45,0.5,0.85,0.0
johnson8-4-4,70,1855,76.81%,18,18,18,1,0.179,0.023,0.0,18,18,0.0,0.0,0.0
hamming6-2,64,1824,90.48%,8,8,8,1,0.14,0.017,0.0,8,8,0.0,0.0,0.0
DSJC125.9,125,6961,89.82%,6,6,6,1,0.645,0.054,10.0,6,6,0.0,0.0,0.0
brock200_3,200,12048,60.54%,67,67,67,1,2.113,0.157,282.0,67,67,0.0,0.0,0.0
c-fat500-5,500,23191,18.59%,41,41,41,1,9.31,0.828,379.0,41,41,0.0,0.0,0.0
DSJC250.5,250,15668,50.34%,101,104,95,0,4.994,0.233,900.0,101,104,0.69,0.0,6.32
le450_15d,450,16750,16.58%,259,294,216,0,14.389,1.592,900.0,242,257,8.85,12.76,19.91
queen10_10,100,1470,29.70%,46,66,32,0,0.609,0.047,900.0,32,66,4.12,0.0,43.75
gen400_p0.9_55,400,71820,90.00%,26,26,26,1,13.334,0.486,73.0,26,26,0.0,0.0,0.0
